IHM_FLOOR_EXIST;§  exist in current building.;§ existe dans le bâtiment courant.
IHM_FLOOR_HEIGHT;Ceiling of floor § is higher than slab of upper floor §.;Le plafond de l'étage § est plus haut que le plancher de l'étage §.
